REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Jalna,514,Bhokardan,4125,0,9144,1914,3364,0,33893,0,0,2638,4074,1783,2511,0,0,0,65,0,0,4731,0,55226,74666,0,0,0,0,0
2010-11,Jalna,514,Jafferabad,4126,0,8997,4611,973,0,19454,0,0,2417,5486,1788,3108,0,0,0,0,0,0,21648,0,47256,29753,0,0,0,0,0
2010-11,Jalna,514,Jalna,4127,0,11476,16408,5220,0,3915,0,0,2439,11840,2269,7154,0,0,10,0,0,0,19679,0,78768,67252,0,0,0,0,0
2010-11,Jalna,514,Badnapur,4128,0,5950,10499,15126,0,4340,0,0,1029,7036,210,3828,0,0,5,76,0,0,0,0,14760,50549,0,0,0,0,0
2010-11,Jalna,514,Ambad,4129,0,6919,20334,5683,0,867,0,0,3931,12468,0,2549,0,0,30,0,0,0,1694,0,720293,64031,0,0,0,0,0
2010-11,Jalna,514,Ghansawangi,4130,0,4511,13972,6189,0,442,0,0,2857,5148,179,3718,0,0,20,0,0,0,2385,0,643320,52023,0,0,0,0,0
2010-11,Jalna,514,Partur,4131,0,6817,8578,1295,0,432,0,0,2272,12789,489,4481,0,0,10,0,0,0,0,0,57023,52474,0,0,0,0,0
2010-11,Jalna,514,Mantha,4132,0,3879,6850,979,0,534,0,0,2084,6600,3789,4870,0,0,10,0,0,0,15414,0,4845,24962,0,0,0,0,0
