REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Osmanabad,525,Paranda,4236,682.11,945.57,814.21,606.21,0,1881.67,0,0,792.79,629.06,665.83,710,0,0,0,498.41,740.833,255.83,1728.33,0,81.1,1438.13,0,0,0,0,0
2010-11,Osmanabad,525,Bhoom,4237,375.33,1115.17,918.88,289.91,0,661.67,0,0,676.48,804.25,256.3,271.78,0,0,0,573.12,425.31,115.75,1433.5,0,75.13,1098.75,0,0,0,0,0
2010-11,Osmanabad,525,Washi,4238,490.96,1030.22,696.52,489.46,0,333,0,0,1068.59,559.42,441.67,506.67,0,0,0,576.92,459.17,446.6,2040,0,65.58,1143.67,0,0,0,0,0
2010-11,Osmanabad,525,Kalamb,4239,357.38,815.81,846.46,388.92,0,1290,0,0,983.79,1306.12,482.24,419.28,0,0,0,1242.21,426.8,122.33,1371.83,0,59.99,1159.96,0,0,0,0,0
2010-11,Osmanabad,525,Osmanabad,4240,300.93,1234.57,991.11,216.38,0,916.5,0,0,772.81,756.56,409.517,467,0,0,0,378.36,328.39,220.83,1740,0,86.84,614.5,0,0,0,0,0
2010-11,Osmanabad,525,Tuljapur,4241,565.56,845.51,924.36,416.07,0,676.94,0,0,718.55,655.31,377.3,411,0,0,0,949.9,566.56,249.58,1721.66,0,91.93,0,0,0,0,0,0
2010-11,Osmanabad,525,Lohara,4242,549.27,1270.73,912.76,386.81,0,820,0,0,1128.99,769.38,455.5,546.73,0,0,0,504.29,344.79,135.4,1372.5,0,75.87,0,0,0,0,0,0
2010-11,Osmanabad,525,Umerga,4243,395.51,1124.03,659.53,429.23,0,1562.5,0,0,803.27,721.01,701.46,546.73,0,0,0,455.03,496.32,290.5,2367.5,0,77.84,0,0,0,0,0,0
