REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Nandurbar,497,Akkalkuwa,3950,5617,2136,8640,0,0,13577,0,1196,2500,2840,1326,1180,0,588,0,23,5,6,0,6584,140,315,0,0,0,0,0
2010-11,Nandurbar,497,Akrani,3951,318,2899,10521,403,0,7411,0,1040,5076,946,1909,253,0,0,0,869,0,0,0,1530,0,8,0,0,0,0,0
2010-11,Nandurbar,497,Taloda,3952,1041,15238,2353,23,0,9240,0,126,2878,774,233,756,0,0,0,114,87,0,0,3304,226,1507,0,0,0,0,0
2010-11,Nandurbar,497,Shahada,3953,0,31193,3045,6394,0,11952,0,169,14123,8294,1781,4122,0,154,0,101,0,137,0,8929,174,13442,0,0,0,0,0
2010-11,Nandurbar,497,Nandurbar,3954,1155,12811,10400,8740,0,10752,0,111,6063,3273,2597,2906,0,50,0,2124,17,1,0,924,26,9315,0,0,0,0,0
2010-11,Nandurbar,497,Nawapur,3955,14770,7649,10400,138,0,12120,0,975,4959,3528,3850,1913,0,275,0,1350,0,25,0,1510,220,1575,0,0,0,0,0
