REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Akola,501,Telhara,3988,0,17298,6216,80,0,331,0,0,13168,7989,2516,3806,0,0,0,0,40,66,19267,0,1860,20874,0,0,0,0,0
2010-11,Akola,501,Akot,3989,0,8473,4491,9,0,415,0,0,35812,12949,364,8158,0,0,0,0,42,60,14594,0,600,19845,0,0,0,0,0
2010-11,Akola,501,Balapur,3990,0,3614,3764,693,0,339,0,0,17434,4776,1,4054,0,0,0,0,463,118,29609,0,0,18965,0,0,0,0,0
2010-11,Akola,501,Akola,3991,0,8187,7795,188,0,332,0,0,32468,11717,1023,11586,0,0,0,0,206,44,41360,0,0,25987,0,0,0,0,0
2010-11,Akola,501,Murtijapur,3992,0,11531,1530,142,0,505,0,0,13058,10801,605,11089,0,0,0,0,135,87,42025,0,0,14449,0,0,0,0,0
2010-11,Akola,501,Patur,3993,0,56686,5757,296,0,426,0,0,2678,4520,2108,3034,0,0,0,0,194,194,35417,0,0,16260,0,0,0,0,0
2010-11,Akola,501,Barshitakli,3994,0,14343,3908,280,0,235,0,0,7954,5001,763,3705,0,0,0,0,56,56,46380,0,1952,14352,0,0,0,0,0
