REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_ID,TALUKA_NAME,TALUKA_ID,RICE,WHEAT,JOWARR,BAJRA,BARLEY,MAIZE,RAGI,OTHR_CEREALS,GRAM,TUR,MUNG,UDID,MASOOR,OTR_PULSES,SUGARCANE,OTHER_SPICES/_Missing,COTTON/_Missing,MESTA/_Missing,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM/_Missing,SOYABEAN,OTR_OILSEEDS,TOBACCO,MEDICINAL,OTR_PULSES/_Missing,WHEAT/_Missing,SUNFLOWER/_Missing,JOWARR/_Missing,GRAM/_Missing,SUGARCANE/_Missing,LINSEED_JAWAS/_Missing,SOYABEAN/_Missing
2011-12,Akola,501,Telhara,3988,0,3858,23000,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,17700,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,8894,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,17700,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,23000,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,17700,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,8894,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,17700,0,0,0,,,,,,,,
2011-12,Akola,501,Telhara,3988,0,3858,23000,0,0,0,0,0,2378,2489,2328,1550,0,0,0,.,.,.,0,0,0,.,17700,0,0,0,,,,,,,,
2011-12,Akola,501,Akot,3989,0,0,23000,0,0,0,0,0,508,4440,3164,203,0,0,0,.,.,.,0,0,0,.,23150,0,0,0,,,,,,,,
2011-12,Akola,501,Akot,3989,0,0,23000,0,0,0,0,0,508,4440,3164,203,0,0,0,.,.,.,0,0,0,.,23150,0,0,0,,,,,,,,
2011-12,Akola,501,Balapur,3990,0,2032,17370,0,0,0,0,0,578,1884,3300,2700,0,,0,.,.,.,0,0,0,.,17400,0,0,0,.,,,,,,,
2011-12,Akola,501,Balapur,3990,0,2032,17370,0,0,0,0,0,578,0,3300,2700,0,,0,.,.,.,0,0,0,.,17400,0,0,0,.,,,,,,,
2011-12,Akola,501,Akola,3991,0,,24940,0,0,0,0,0,4514,5625,7690,600,0,,0,.,.,.,0,0,,.,37660,0,0,0,.,.,.,,,,,
2011-12,Akola,501,Akola,3991,0,,24940,0,0,0,0,0,4514,5625,7690,600,0,,0,.,.,.,0,0,,.,37660,0,0,0,.,.,.,,,,,
2011-12,Akola,501,Akola,3991,0,,24940,0,0,0,0,0,4514,5625,7690,600,0,,0,.,.,.,0,0,,.,37660,0,0,0,.,.,.,,,,,
2011-12,Akola,501,Akola,3991,0,,24940,0,0,0,0,0,4514,5625,7690,600,0,,0,.,.,.,0,0,,.,37660,0,0,0,.,.,.,,,,,
2011-12,Akola,501,Murtijapur,3992,0,9073,13440,0,0,0,0,0,2618,3730,7245,451,0,0,0,.,.,.,0,0,0,.,25520,0,0,0,,,,,,,,
2011-12,Akola,501,Patur,3993,0,8549,16700,0,0,0,0,0,2036,2172,2082,1005,0,,0,.,.,.,0,0,0,.,0,0,0,0,.,,,,,,,
2011-12,Akola,501,Patur,3993,0,8549,16700,0,0,0,0,0,2036,2172,2082,1005,0,,0,.,.,.,0,0,0,.,0,0,0,0,.,,,,,,,
2011-12,Akola,501,Patur,3993,0,8549,16700,0,0,0,0,0,2036,2172,2082,1005,0,,0,.,.,.,0,0,0,.,0,0,0,0,.,,,,,,,
2011-12,Akola,501,Patur,3993,0,8549,16700,0,0,0,0,0,2036,2172,2082,1005,0,,0,.,.,.,0,0,0,.,0,0,0,0,.,,,,,,,
2011-12,Akola,501,Barshitakli,3994,0,7057,,0,0,0,0,0,,2365,2757,868,0,,,.,.,.,,0,0,.,,0,0,0,.,,,.,.,.,.,.
2011-12,Akola,501,Barshitakli,3994,0,7057,,0,0,0,0,0,,2365,2757,868,0,,,.,.,.,,0,0,.,,0,0,0,.,,,.,.,.,.,.
2011-12,Akola,501,Barshitakli,3994,0,7057,,0,0,0,0,0,,2250,2757,868,0,,,.,.,.,,0,0,.,,0,0,0,.,,,.,.,.,.,.
2011-12,Akola,501,Barshitakli,3994,0,7057,,0,0,0,0,0,,2250,2757,868,0,,,.,.,.,,0,0,.,,0,0,0,.,,,.,.,.,.,.
