REFERENCE_YEAR,DISTRICT_NAME,DISTRICT_CODE,TALUKA_NAME,TALUKA_CODE,RICE,WHEAT,JOWAR,BAJRA,BARLEY,MAIZE,RAGI,OTHER_CEREALS,GRAM,TUR,UDID,MUNG,MASOOR,OTHER_PULSES,LINSEED_JAWAS,GROUNDNUTS,SUNFLOWER,SESAMUM,SOYABEAN,OTHER_OIL_SEEDS,SUGARCANE,COTTON,TAG,MESTA,TOBACCO,MEDICINAL,OTHER_SPICES
2010-11,Dhule,498,Shirpur,3956,0,39708,18425,6189,0,25848,0,100,15184,2639,3268,6760,0,460,0,641.6,0,935,8117,0,300482,57935,0,0,0,0,0
2010-11,Dhule,498,Shindkhed,3957,0,18499,22668,59169,0,32944,0,0,6507,2554,2395,7566,0,430,0,7172.8,0,302,5697,410,4998,47002,0,0,0,0,0
2010-11,Dhule,498,Sakri,3958,6529,21028,6450,56176,0,71384,3551,200,9546,1453,2812,3270,0,425,0,18830,6622,47,30768,0,148166,18206,0,0,0,0,0
2010-11,Dhule,498,Dhule,3959,0,11642,24799,49724,0,32378,0,100,7712,1597,1294,2591,0,415,0,1149.7,16184,500,2525,0,4540.8,89167,0,0,0,0,0
